Molecule Name,Total Molweight,Molweight,cLogP,cLogS,H-Acceptors,H-Donors,Total Surface Area,Relative PSA,Polar Surface Area,Druglikeness,Mutagenic,Tumorigenic,Reproductive Effective,Irritant,Rotatable Bonds,Ligand,Binding Affinity,Extracted_ZINC,Is_Correct_Alignment
ZINC15707088,322.407,322.407,-4.2741,-0.455,7,2,247.73,0.25871,70.12,2.9592,none,none,none,none,3,hur_model_ZINC15707088_uff_E=478.43,-6.5,ZINC15707088,True
ZINC20465183,343.49,343.49,-3.7185,0.687,7,4,276.72,0.26146,72.64,7.0471,none,none,none,none,5,hur_model_ZINC20465183_uff_E=526.37,-6.0,ZINC20465183,True
ZINC30878687,388.53,388.53,-0.9729,-2.134,6,3,314.32,0.21869,66.24,5.1145,none,none,none,none,7,hur_model_ZINC30878687_uff_E=1576.78,-7.2,ZINC30878687,True
ZINC20465186,330.447,330.447,-2.9429,0.189,7,3,246.4,0.24773,82.01,2.7934,none,none,none,none,5,hur_model_ZINC20465186_uff_E=539.41,-6.3,ZINC20465186,True
ZINC15707096,307.349,307.349,-4.7684,-0.899,7,3,236.7,0.31563,83.18,1.2051,none,none,none,none,5,hur_model_ZINC15707096_uff_E=629.41,-5.8,ZINC15707096,True
ZINC20465189,354.444,354.444,-1.8157,-0.763,6,3,262.23,0.19464,72.78,4.8714,none,none,none,none,6,hur_model_ZINC20465189_uff_E=417.17,-5.8,ZINC20465189,True
ZINC30878692,403.521,403.521,1.1439,-2.674,7,2,308.78,0.20953,74.27,8.8568,none,none,none,none,7,hur_model_ZINC30878692_uff_E=1726.14,-7.3,ZINC30878692,True
ZINC20465195,288.41,288.41,-2.569,0.196,6,3,219.38,0.23266,72.78,6.22,none,none,none,none,5,hur_model_ZINC20465195_uff_E=362.48,-5.1,ZINC20465195,True
ZINC12602414,440.63,440.63,0.9794,-3.201,5,2,340.8,0.17952,62.23,-1.8604,none,none,none,none,5,hur_model_ZINC12602414_uff_E=1014.78,-7.3,ZINC12602414,True
ZINC12602421,426.603,426.603,0.6355,-2.857,5,2,328.54,0.18622,62.23,-2.8797,none,none,none,none,5,hur_model_ZINC12602421_uff_E=1013.15,-7.0,ZINC12602421,True
ZINC30878705,281.375,281.375,-1.6988,-1.866,5,3,238.79,0.273,63.0,3.3083,none,none,none,none,6,hur_model_ZINC30878705_uff_E=1510.82,-4.4,ZINC30878705,True
ZINC12602423,456.629,456.629,0.5655,-2.875,6,2,350.8,0.20291,71.46,4.8025,none,none,none,none,6,hur_model_ZINC12602423_uff_E=1036.79,-8.0,ZINC12602423,True
ZINC00034445,285.342,285.342,2.7679,-2.841,4,2,221.87,0.20084,50.72,0.7325,none,high,none,high,3,hur_model_ZINC00034445_uff_E=281.83,-6.4,ZINC00034445,True
ZINC20465197,274.383,274.383,-3.2097,1.236,6,3,223.48,0.27246,60.61,6.1517,none,none,none,none,4,hur_model_ZINC20465197_uff_E=483.90,-5.3,ZINC20465197,True
ZINC00034444,285.342,285.342,2.7679,-2.841,4,2,221.87,0.20084,50.72,0.7325,none,high,none,high,3,hur_model_ZINC00034444_uff_E=237.43,-6.4,ZINC00034444,True
