Ligand,Binding Affinity
hur_model_ZINC67879604_uff_E=721.80,-8.8
hur_model_ZINC15707276_uff_E=745.77,-8.8
hur_model_ZINC15707291_uff_E=1085.78,-8.8
hur_model_ZINC15707222_uff_E=883.96,-8.8
hur_model_ZINC15707319_uff_E=788.58,-8.8
hur_model_ZINC15707357_uff_E=953.99,-8.8
hur_model_ZINC15707369_uff_E=962.35,-8.8
hur_model_ZINC09186673_uff_E=367.96,-8.8
hur_model_ZINC49170160_uff_E=861.52,-8.8
hur_model_ZINC04147854_uff_E=1160.24,-8.8
hur_model_ZINC04147854_uff_E=1160.24,-8.8
hur_model_ZINC59676913_uff_E=1133.53,-8.8
hur_model_ZINC59676913_uff_E=1133.53,-8.8
hur_model_ZINC59676914_uff_E=1144.13,-8.8
hur_model_ZINC59676926_uff_E=1189.27,-8.8
hur_model_ZINC20503197_uff_E=701.24,-8.8
hur_model_ZINC06576216_uff_E=323.11,-8.8
hur_model_ZINC59677339_uff_E=1014.55,-8.8
hur_model_ZINC09186673_uff_E=457.76,-8.8
hur_model_ZINC09186673_uff_E=457.76,-8.8
hur_model_ZINC35424753_uff_E=1055.26,-8.7
hur_model_ZINC67890457_uff_E=442.41,-8.7
hur_model_ZINC72320970_uff_E=561.26,-8.7
hur_model_ZINC72320964_uff_E=550.33,-8.7
hur_model_ZINC77262164_uff_E=582.10,-8.7
hur_model_ZINC08779837_uff_E=901.04,-8.7
hur_model_ZINC31153771_uff_E=600.77,-8.7
hur_model_ZINC31153771_uff_E=600.77,-8.7
hur_model_ZINC15675762_uff_E=709.95,-8.7
hur_model_ZINC15675734_uff_E=738.84,-8.7
hur_model_ZINC15675622_uff_E=934.72,-8.7
hur_model_ZINC12603057_uff_E=628.12,-8.7
hur_model_ZINC22752964_uff_E=292.37,-8.7
hur_model_ZINC22752904_uff_E=453.23,-8.7
hur_model_ZINC12602936_uff_E=669.00,-8.7
hur_model_ZINC15676045_uff_E=804.66,-8.7
hur_model_ZINC22752879_uff_E=558.65,-8.7
hur_model_ZINC12603310_uff_E=650.98,-8.7
hur_model_ZINC12603310_uff_E=666.52,-8.7
hur_model_ZINC15675926_uff_E=846.35,-8.7
hur_model_ZINC22752839_uff_E=605.31,-8.7
hur_model_ZINC12602920_uff_E=592.82,-8.7
hur_model_ZINC15675922_uff_E=851.17,-8.7
hur_model_ZINC15675922_uff_E=851.17,-8.7
hur_model_ZINC15675920_uff_E=875.34,-8.7
hur_model_ZINC12602920_uff_E=605.39,-8.7
hur_model_ZINC20504067_uff_E=627.28,-8.7
hur_model_ZINC20504067_uff_E=630.33,-8.7
hur_model_ZINC15675732_uff_E=739.28,-8.7
hur_model_ZINC15675652_uff_E=747.78,-8.7
hur_model_ZINC15675572_uff_E=753.39,-8.7
hur_model_ZINC20504050_uff_E=629.84,-8.7
hur_model_ZINC20504056_uff_E=587.70,-8.7
hur_model_ZINC15707240_uff_E=1116.18,-8.7
hur_model_ZINC15707240_uff_E=1116.18,-8.7
hur_model_ZINC31153552_uff_E=718.09,-8.7
hur_model_ZINC31153552_uff_E=718.09,-8.7
hur_model_ZINC31153552_uff_E=719.14,-8.7
hur_model_ZINC15675534_uff_E=708.27,-8.7
hur_model_ZINC15675548_uff_E=717.93,-8.7
hur_model_ZINC15707240_uff_E=1101.66,-8.7
hur_model_ZINC20504514_uff_E=731.82,-8.7
hur_model_ZINC20504522_uff_E=670.57,-8.7
hur_model_ZINC22752879_uff_E=556.05,-8.7
hur_model_ZINC72320685_uff_E=802.74,-8.7
hur_model_ZINC72320691_uff_E=741.09,-8.7
hur_model_ZINC72320703_uff_E=741.96,-8.7
hur_model_ZINC72320703_uff_E=741.96,-8.7
hur_model_ZINC72320732_uff_E=741.02,-8.7
hur_model_ZINC72320852_uff_E=590.98,-8.7
hur_model_ZINC67890370_uff_E=1102.86,-8.7
hur_model_ZINC12530134_uff_E=899.01,-8.7
hur_model_ZINC13137083_uff_E=403.16,-8.7
hur_model_ZINC13137083_uff_E=403.16,-8.7
hur_model_ZINC67870595_uff_E=1343.37,-8.7
hur_model_ZINC67870820_uff_E=878.40,-8.7
hur_model_ZINC67870831_uff_E=756.84,-8.7
hur_model_ZINC67870835_uff_E=779.67,-8.7
hur_model_ZINC67870836_uff_E=817.72,-8.7
hur_model_ZINC35425288_uff_E=932.43,-8.7
hur_model_ZINC35425331_uff_E=1094.03,-8.7
hur_model_ZINC77267019_uff_E=547.54,-8.7
hur_model_ZINC77267074_uff_E=637.59,-8.7
hur_model_ZINC77267086_uff_E=750.36,-8.7
hur_model_ZINC77267086_uff_E=750.36,-8.7
hur_model_ZINC77267451_uff_E=651.28,-8.7
hur_model_ZINC77267488_uff_E=1143.21,-8.7
hur_model_ZINC67898835_uff_E=695.98,-8.7
hur_model_ZINC77267495_uff_E=641.82,-8.7
hur_model_ZINC04221980_uff_E=1129.57,-8.7
hur_model_ZINC77267551_uff_E=1044.32,-8.7
hur_model_ZINC20462752_uff_E=1048.52,-8.7
hur_model_ZINC15675510_uff_E=724.23,-8.7
hur_model_ZINC15675544_uff_E=733.67,-8.7
hur_model_ZINC15675614_uff_E=763.04,-8.7
hur_model_ZINC15675622_uff_E=933.06,-8.7
hur_model_ZINC15675762_uff_E=798.33,-8.7
hur_model_ZINC15675762_uff_E=798.33,-8.7
hur_model_ZINC15675774_uff_E=819.80,-8.7
hur_model_ZINC15675774_uff_E=819.80,-8.7
hur_model_ZINC15675804_uff_E=796.76,-8.7
hur_model_ZINC15675816_uff_E=800.25,-8.7
hur_model_ZINC20464087_uff_E=717.65,-8.7
hur_model_ZINC15675862_uff_E=741.58,-8.7
hur_model_ZINC15675888_uff_E=824.25,-8.7
hur_model_ZINC20464220_uff_E=636.31,-8.7
hur_model_ZINC49154966_uff_E=921.30,-8.7
hur_model_ZINC49154966_uff_E=889.71,-8.7
hur_model_ZINC15675938_uff_E=844.28,-8.7
hur_model_ZINC15675938_uff_E=844.28,-8.7
hur_model_ZINC15675938_uff_E=844.28,-8.7
hur_model_ZINC15675940_uff_E=788.17,-8.7
hur_model_ZINC15675940_uff_E=788.17,-8.7
hur_model_ZINC15675941_uff_E=844.87,-8.7
hur_model_ZINC67878909_uff_E=826.82,-8.7
hur_model_ZINC15675944_uff_E=855.44,-8.7
hur_model_ZINC15675948_uff_E=865.34,-8.7
hur_model_ZINC22922740_uff_E=823.61,-8.7
hur_model_ZINC15676026_uff_E=758.62,-8.7
hur_model_ZINC15676026_uff_E=758.62,-8.7
hur_model_ZINC15676028_uff_E=815.51,-8.7
hur_model_ZINC15676047_uff_E=720.24,-8.7
hur_model_ZINC67879226_uff_E=831.77,-8.7
hur_model_ZINC67879250_uff_E=818.34,-8.7
hur_model_ZINC20464531_uff_E=1069.23,-8.7
hur_model_ZINC15676343_uff_E=608.63,-8.7
hur_model_ZINC67879604_uff_E=721.80,-8.7
hur_model_ZINC67879604_uff_E=733.38,-8.7
hur_model_ZINC67879686_uff_E=766.71,-8.7
hur_model_ZINC15707234_uff_E=911.62,-8.7
hur_model_ZINC15707276_uff_E=735.86,-8.7
hur_model_ZINC15707204_uff_E=831.99,-8.7
hur_model_ZINC15707307_uff_E=742.93,-8.7
hur_model_ZINC15707349_uff_E=953.68,-8.7
hur_model_ZINC30883062_uff_E=611.72,-8.7
hur_model_ZINC49169909_uff_E=612.64,-8.7
hur_model_ZINC59676918_uff_E=1070.56,-8.7
hur_model_ZINC59676920_uff_E=1089.30,-8.7
hur_model_ZINC59676926_uff_E=1189.27,-8.7
hur_model_ZINC59676937_uff_E=1215.67,-8.7
hur_model_ZINC20503197_uff_E=701.24,-8.7
hur_model_ZINC06576216_uff_E=323.11,-8.7
hur_model_ZINC06576219_uff_E=322.63,-8.7
hur_model_ZINC20503637_uff_E=816.55,-8.7
hur_model_ZINC09186673_uff_E=457.76,-8.7
hur_model_ZINC35424724_uff_E=667.11,-8.6
hur_model_ZINC35424699_uff_E=830.57,-8.6
hur_model_ZINC22752915_uff_E=432.48,-8.6
hur_model_ZINC22752910_uff_E=415.95,-8.6
hur_model_ZINC22752845_uff_E=394.85,-8.6
hur_model_ZINC77262360_uff_E=565.18,-8.6
hur_model_ZINC15675916_uff_E=662.86,-8.6
hur_model_ZINC15675762_uff_E=709.95,-8.6
hur_model_ZINC15675666_uff_E=730.03,-8.6
hur_model_ZINC15675624_uff_E=738.62,-8.6
hur_model_ZINC15675622_uff_E=934.72,-8.6
